country_name,week,prevalent_word,word_frequency,word_percentage,prevalence_score,num_articles
Russia,2025-W42,kremlin,5,10.0,1485.1,50
Brazil,2025-W42,nos,3,20.0,990.07,15
Nigeria,2025-W42,nigeria,29,193.33,990.07,15
Germany,2025-W42,fraternities,1,5.0,742.55,20
Spain,2025-W42,periodista,1,4.76,707.19,21
United Kingdom,2025-W42,prosecutor,2,4.0,594.04,50
South Korea,2025-W42,korea,31,103.33,495.03,30
Japan,2025-W42,figure,1,3.33,495.03,30
Canada,2025-W42,anymore,3,10.0,495.03,30
France,2025-W42,paris,7,15.91,337.52,44
Australia,2025-W42,throat,2,4.44,330.02,45
India,2025-W42,virat,7,15.22,322.85,46
United States,2025-W42,dominion,8,16.0,297.02,50
China,2025-W42,nanjing,14,28.0,297.02,50
